Title,PMID,ISSN
European journal of neurology,40219675,1468-1331
RMD open,40221149,2056-5933
Pediatric research,40221632,1530-0447
BMC pulmonary medicine,40221711,1471-2466
Archives of medical research,40222219,1873-5487
Journal of global antimicrobial resistance,40222593,2213-7173
Journal of thoracic disease,40223964,2072-1439
Iranian journal of medical sciences,40224204,1735-3688
"Clinical, cosmetic and investigational dermatology",40225309,1178-7015
Translational andrology and urology,40226076,2223-4691
Journal of clinical and experimental hepatology,40226388,0973-6883
American journal of cancer research,40226454,2156-6976
Chinese medical journal pulmonary and critical care medicine,40226600,2772-5588
Depression and anxiety,40226639,1520-6394
Acta haematologica,40228492,1421-9662
Journal of paediatrics and child health,40230188,1440-1754
Prostate cancer,40230465,2090-3111
Lancet regional health. Americas,40230879,2667-193X
Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,40235374,1005-6661
Journal of pain research,40236720,1178-7090
Frontiers in global women's health,40236949,2673-5059
Biomedical and environmental sciences : BES,40237273,2214-0190
Clinical and experimental dermatology,40237342,1365-2230
Advances in clinical and experimental medicine : official organ Wroclaw Medical University,40237525,1899-5276
International journal of rheumatic diseases,40237640,1756-185X
Journal of the American Nutrition Association,40239039,2769-707X
Journal of the American Heart Association,40240923,2047-9980
BMC geriatrics,40240991,1471-2318
Pediatric investigation,40241892,2574-2272
Cancer medicine,40243195,2045-7634
Acta psychologica,40245668,1873-6297
International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,40246060,1878-3511
Heart (British Cardiac Society),40246334,1468-201X
Communications medicine,40247108,2730-664X
BMC infectious diseases,40247186,1471-2334
BMC cancer,40247202,1471-2407
Journal of orthopaedics,40248514,0972-978X
Diabetes research and clinical practice,40250808,1872-8227
BMC psychiatry,40251551,1471-244X
"Journal of health, population, and nutrition",40251654,2072-1315
"European journal of obstetrics, gynecology, and reproductive biology",40252331,1872-7654
Bulletin of the World Health Organization,40026660,1564-0604
Comprehensive child and adolescent nursing,40029249,2469-4207
Infection,40029588,1439-0973
BMJ open,40032387,2044-6055
Balkan medical journal,40033634,2146-3131
Heliyon,40034309,2405-8440
Stroke,40035131,1524-4628
HIV medicine,40035152,1468-1293
Journal of medical virology,40035471,1096-9071
Environmental science & technology,40035854,1520-5851
Frontiers in surgery,40040815,2296-875X
BMJ (Clinical research ed.),40044233,1756-1833
Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,40044432,1007-3418
Seminars in fetal & neonatal medicine,40044506,1878-0946
International urology and nephrology,40045051,1573-2584
Journal of conservative dentistry and endodontics,40046463,2950-4708
JACC. Heart failure,40047764,2213-1787
Sexual health,40048314,1449-8987
The International journal on drug policy,40048922,1873-4758
"Lancet (London, England)",40049185,1474-547X
Arthritis care & research,40051120,2151-4658
Revista brasileira de epidemiologia = Brazilian journal of epidemiology,40053004,1980-5497
The American journal of clinical nutrition,40054623,1938-3207
World journal of surgical oncology,40055712,1477-7819
International journal of colorectal disease,40056174,1432-1262
Annals of hepatology,40057034,1665-2681
The journal of prevention of Alzheimer's disease,40057462,2426-0266
Frontiers in microbiology,40061861,1664-302X
Liver international : official journal of the International Association for the Study of the Liver,40062742,1478-3231
International journal of cardiology,40064205,1874-1754
The journal of headache and pain,40065229,1129-2377
International journal of women's health,40066179,1179-1411
Value in health regional issues,40068515,2212-1102
"Scandinavian journal of trauma, resuscitation and emergency medicine",40069795,1757-7241
"Cancer reports (Hoboken, N.J.)",40071521,2573-8348
American journal of preventive medicine,40072379,1873-2607
Archives of dermatological research,40072594,1432-069X
European journal of trauma and emergency surgery : official publication of the European Trauma Society,40074872,1863-9941
Cancers,40075739,2072-6694
Journal of diabetes investigation,40077954,2040-1124
Plastic and reconstructive surgery. Global open,40078622,2169-7574
Brain and behavior,40079486,2162-3279
Pacing and clinical electrophysiology : PACE,40080065,1540-8159
The Journal of infectious diseases,40080680,1537-6613
BMC nephrology,40082779,1471-2369
JMIR research protocols,40085831,1929-0748
JMIR cancer,40085845,2369-1999
BMC pregnancy and childbirth,40087648,1471-2393
Parkinsonism & related disorders,40088779,1873-5126
International journal of geriatric psychiatry,40090859,1099-1166
Military Medical Research,40091108,2054-9369
Renal failure,40091641,1525-6049
Psychological medicine,40098477,1469-8978
Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology,40098597,1365-2222
Medicine,40101022,1536-5964
Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,40105082,1008-8830
Diagnostic microbiology and infectious disease,40107226,1879-0070
Digestive diseases and sciences,40108101,1573-2568
World journal of methodology,40115408,2222-0682
"Diabetes, obesity & metabolism",40116333,1463-1326
ESMO open,40117895,2059-7029
Cancer epidemiology,40120459,1877-783X
The Lancet. Planetary health,40120624,2542-5196
Journal of translational medicine,40121471,1479-5876
"Alcohol (Fayetteville, N.Y.)",40122354,1873-6823
Ophthalmic epidemiology,40127261,1744-5086
Aging clinical and experimental research,40128382,1720-8319
Biomarker research,40128880,2050-7771
Microbiology spectrum,40130859,2165-0497
Expert review of anticancer therapy,40131222,1744-8328
Global spine journal,40133001,2192-5682
BMC research notes,40134010,1756-0500
Advances in ophthalmology practice and research,40134666,2667-3762
American journal of preventive cardiology,40135151,2666-6677
The Journal of asthma : official journal of the Association for the Care of Asthma,40135766,1532-4303
Ciencia & saude coletiva,40136158,1678-4561
Journal of the American Academy of Dermatology,40139316,1097-6787
Journal of dairy science,40139368,1525-3198
International breastfeeding journal,40140930,1746-4358
Chinese medical journal,40143427,2542-5641
Nutrition journal,39905517,1475-2891
Neurology,39908467,1526-632X
Tropical medicine and health,39910666,1348-8945
Intestinal research,39910905,1598-9100
"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",39912235,1532-2092
QJM : monthly journal of the Association of Physicians,39913431,1460-2393
"Advances in nutrition (Bethesda, Md.)",39914495,2156-5376
Journal of hepatology,39914746,1600-0641
Musculoskeletal care,39915973,1557-0681
Frontiers in aging,39917091,2673-6217
Ecotoxicology and environmental safety,39919592,1090-2414
Journal of cancer research and clinical oncology,39921760,1432-1335
International journal of cardiology. Congenital heart disease,39926129,2666-6685
Thoracic research and practice,39930698,2979-9139
Paediatric and perinatal epidemiology,39932142,1365-3016
Drug and alcohol review,39932804,1465-3362
Open heart,39933829,2053-3624
"Hypertension (Dallas, Tex. : 1979)",39936292,1524-4563
Journal of psychosomatic obstetrics and gynaecology,39936646,1743-8942
Clinical rheumatology,39937200,1434-9949
"Hepatology (Baltimore, Md.)",39937958,1527-3350
Early human development,39938324,1872-6232
Hepatology international,39939576,1936-0541
Population health metrics,39940004,1478-7954
European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),39945451,1473-5709
The Journal of adolescent health : official publication of the Society for Adolescent Medicine,39945686,1879-1972
Mayo Clinic proceedings,39945699,1942-5546
Hernia : the journal of hernias and abdominal wall surgery,39945919,1248-9204
Journal of oral and maxillofacial pathology : JOMFP,39949697,0973-029X
Urolithiasis,39954073,2194-7236
The lancet. Healthy longevity,39954700,2666-7568
Journal of diabetes and metabolic disorders,39959579,2251-6581
"Frontiers in pain research (Lausanne, Switzerland)",39963513,2673-561X
Translational psychiatry,39966345,2158-3188
Alimentary pharmacology & therapeutics,39967239,1365-2036
Archives of medical science : AMS,39967926,1734-1922
Circulation,39968665,1524-4539
BMC urology,39972318,1471-2490
Reproductive health,39972325,1742-4755
Journal of orthopaedic surgery and research,39972346,1749-799X
Journal of medical economics,39973294,1941-837X
Acute medicine & surgery,39975520,2052-8817
European journal of gastroenterology & hepatology,39975993,1473-5687
Journal of assisted reproduction and genetics,39976774,1573-7330
"Obesity (Silver Spring, Md.)",39978407,1930-739X
JHEP reports : innovation in hepatology,39980749,2589-5559
"Parasite (Paris, France)",39981999,1776-1042
Diabetes/metabolism research and reviews,39983069,1520-7560
Lipids in health and disease,39984954,1476-511X
"The journal of nutrition, health & aging",39985957,1760-4788
BMC neurology,39987025,1471-2377
Reproductive biology and endocrinology : RB&E,39987432,1477-7827
Pediatric hematology and oncology,39989269,1521-0669
Annals of hematology,39992428,1432-0584
European heart journal. Quality of care & clinical outcomes,39993926,2058-1742
BJOG : an international journal of obstetrics and gynaecology,39996398,1471-0528
Tropical medicine and infectious disease,39998046,2414-6366
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,40000305,1525-1438
International journal of molecular sciences,40004086,1422-0067
Journal of the Royal Society of Medicine,40009061,1758-1095
The journal of pain,40010679,1528-8447
"In vivo (Athens, Greece)",40011004,1791-7549
"Environment & health (Washington, D.C.)",40012876,2833-8278
Journal of cosmetic dermatology,40013610,1473-2165
Zeitschrift fur Rheumatologie,40014093,1435-1250
JAMA network open,40014342,2574-3805
BMC musculoskeletal disorders,40016700,1471-2474
General psychiatry,40017492,2517-729X
Aging medicine (Milton (N.S.W)),40017668,2475-0360
BMJ public health,40018177,2753-4294
Internal and emergency medicine,40019669,1970-9366
Behavioural brain research,40020760,1872-7549
The Lancet. Global health,40021301,2214-109X
Asian Pacific journal of cancer prevention : APJCP,40022713,2476-762X
Science bulletin,40023725,2095-9281
Atherosclerosis,40024859,1879-1484
Saudi journal of gastroenterology : official journal of the Saudi Gastroenterology Association,40025997,1998-4049
Journal of preventive medicine and hygiene,40026428,2421-4248
"Ear, nose, & throat journal",39773071,1942-7522
BMC women's health,39773442,1472-6874
Hepatology communications,39773868,2471-254X
Anaesthesia,39777643,1365-2044
Cancer,39777671,1097-0142
The American journal of medicine,39778787,1555-7162
Journal of the European Academy of Dermatology and Venereology : JEADV,39780527,1468-3083
International journal of medical sciences,39781526,1449-1907
Haematologica,39781621,1592-8721
Public health nutrition,39783017,1475-2727
BMC psychology,39794816,2050-7283
Journal of hematology & oncology,39794860,1756-8722
BMC surgery,39799296,1471-2482
Journal of clinical and translational hepatology,39801784,2310-8819
Chinese journal of cancer research = Chung-kuo yen cheng yen chiu,39802900,1000-9604
Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,39805675,1008-9292
Discover oncology,39806164,2730-6011
International health,39807031,1876-3405
The British journal of psychiatry : the journal of mental science,39809717,1472-1465
JACC. Advances,39811756,2772-963X
Neuro-oncology,39812442,1523-5866
BMC global and public health,39815319,2731-913X
Risk management and healthcare policy,39816786,1179-1594
Acta medica Philippina,39817113,2094-9278
The international journal of behavioral nutrition and physical activity,39819703,1479-5868
Ageing research reviews,39828028,1872-9649
Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,39828547,0254-6450
World journal of psychiatry,39831008,2220-3206
Tobacco prevention & cessation,39831150,2459-3087
The lancet. HIV,39832519,2352-3018
Nature reviews. Neurology,39833457,1759-4766
Diabetology & metabolic syndrome,39833964,1758-5996
International journal of public health,39834604,1661-8564
International urogynecology journal,39836174,1433-3023
Annals of surgical oncology,39836276,1534-4681
Journal of environmental management,39837142,1095-8630
Spine,39838749,1528-1159
Thoracic cancer,39840528,1759-7714
Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia,39841778,1806-3756
Psychiatry research,39842218,1872-7123
Nature,39843750,1476-4687
Zhonghua er ke za zhi = Chinese journal of pediatrics,39844489,0578-1310
Oral diseases,39846356,1601-0825
Substance use & misuse,39846443,1532-2491
Burns : journal of the International Society for Burn Injuries,39848116,1879-1409
Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract,39848314,1873-4626
World journal of pediatrics : WJP,39849272,1867-0687
European journal of obstetrics & gynecology and reproductive biology: X,39850250,2590-1613
SAGE open medicine,39850939,2050-3121
JAMA health forum,39854002,2689-0186
"Neoplasia (New York, N.Y.)",39855015,1476-5586
The Lancet. Child & adolescent health,39855751,2352-4650
Genes,39858610,2073-4425
"Life (Basel, Switzerland)",39859964,2075-1729
Zhonghua nei ke za zhi,39863561,0578-1426
Journal of hazardous materials,39864192,1873-3336
Frontiers in aging neuroscience,39868382,1663-4365
International journal of epidemiology,39868476,1464-3685
Journal of periodontology,39868976,1943-3670
Journal of cosmetic and laser therapy : official publication of the European Society for Laser Dermatology,39871800,1476-4180
Endocrine-related cancer,39878570,1479-6821
Environment international,39879811,1873-6750
Journal of dentistry,39880277,1879-176X
NPJ precision oncology,39880919,2397-768X
Journal of global health,39885817,2047-2986
Current developments in nutrition,39886080,2475-2991
Mycoses,39888053,1439-0507
The Lancet. Digital health,39890245,2589-7500
World journal of surgery,39891616,1432-2323
Bone,39892637,1873-2763
"Immunity, inflammation and disease",39898752,2050-4527
Drug and alcohol dependence,39603063,1879-0046
GeroScience,39612068,2509-2723
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,39612611,1532-2653
Tobacco control,39613330,1468-3318
Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention,39613392,1475-5785
Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,39613940,1590-3478
Iranian journal of public health,39619902,2251-6093
The Laryngoscope,39629733,1531-4995
International journal of stroke : official journal of the International Stroke Society,39635884,1747-4949
The Lancet. Oncology,39637901,1474-5488
European journal of heart failure,39638984,1879-0844
Journal of dental research,39639484,1544-0591
Annals of global health,39650717,2214-9996
The Lancet. Haematology,39653046,2352-3026
"Open medicine (Warsaw, Poland)",39655051,2391-5463
Journal of physical activity & health,39657648,1543-5474
"Cancer communications (London, England)",39659114,2523-3548
Pain and therapy,39661241,2193-8237
JMIR dermatology,39661989,2562-0959
Qualitative health research,39662477,1049-7323
Environmental health and preventive medicine,39662956,1347-4715
"Psychological trauma : theory, research, practice and policy",39666473,1942-969X
Indian journal of community medicine : official publication of Indian Association of Preventive & Social Medicine,39668931,0970-0218
International journal of urology : official journal of the Japanese Urological Association,39670291,1442-2042
American journal of ophthalmology,39672488,1879-1891
European journal of public health,39673429,1464-360X
"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",39674276,1534-4436
Acta tropica,39675411,1873-6254
Medical journal of the Islamic Republic of Iran,39678781,1016-1430
Caries research,39681109,1421-976X
Annual review of public health,39689276,1545-2093
Archivos de bronconeumologia,39690008,1579-2129
Ibrain,39691425,2769-2795
Health data science,39691606,2765-8783
Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,39694213,1542-7714
Bulletin of emergency and trauma,39697383,2322-2522
Clinical oral investigations,39699767,1436-3771
Translational stroke research,39699770,1868-601X
"Alcohol, clinical & experimental research",39701596,2993-7175
Influenza and other respiratory viruses,39702884,1750-2659
Allergy,39704398,1398-9995
The Lancet. Infectious diseases,39708822,1474-4457
The lancet. Psychiatry,39709974,2215-0374
Infectious disease clinics of North America,39710555,1557-9824
BMC immunology,39716054,1471-2172
iScience,39717082,2589-0042
American journal of surgery,39718479,1879-1883
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,39719471,1434-4726
Frontiers in reproductive health,39720120,2673-3153
Diabetes & metabolic syndrome,39721491,1878-0334
Eating disorders,39726363,1532-530X
The Lancet regional health. Europe,39726726,2666-7762
British journal of pain,39726775,2049-4637
Journal of infection and public health,39732057,1876-035X
The Indian journal of medical research,39737507,0971-5916
International journal of cancer,39737814,1097-0215
"Innere Medizin (Heidelberg, Germany)",39738524,2731-7099
PharmacoEconomics,39739243,1179-2027
Computers in biology and medicine,39740511,1879-0534
Gut,39740993,1468-3288
International dental journal,39741065,1875-595X
Frontiers in epidemiology,39741899,2674-1199
World journal of orthopedics,39744725,2218-5836
"Environmental pollution (Barking, Essex : 1987)",39746640,1873-6424
The American journal of gastroenterology,39749919,1572-0241
"Human reproduction (Oxford, England)",39752330,1460-2350
Cancer letters,39755360,1872-7980
Current protein & peptide science,39757640,1875-5550
Journal of diabetes,39757980,1753-0407
Immunologic research,39762576,1559-0755
Expert review of endocrinology & metabolism,39763434,1744-8417
Science in One Health,39763639,2949-7043
Clinical psychology & psychotherapy,39382314,1099-0879
Wellcome open research,39386965,2398-502X
BJPsych open,39387195,2056-4724
Expert review of pharmacoeconomics & outcomes research,39388211,1744-8379
Health promotion international,39397748,1460-2245
American journal of translational research,39398617,1943-8141
Infectious diseases & clinical microbiology,39399742,2667-646X
Journal of evidence-based integrative medicine,39403733,2515-690X
Journal of prevention (2022),39404975,2731-5541
Current opinion in pulmonary medicine,39410863,1531-6971
JMIR public health and surveillance,39418779,2369-2960
Science China. Life sciences,39425834,1869-1889
Epidemiology and psychiatric sciences,39431336,2045-7979
Environmental health : a global access science source,39434094,1476-069X
Open forum infectious diseases,39435321,2328-8957
Journal of biosocial science,39445354,1469-7599
Nature reviews. Disease primers,39448666,2056-676X
Journal of travel medicine,39450993,1708-8305
Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,39451004,1399-3038
"Behavioral sciences (Basel, Switzerland)",39457754,2076-328X
Autoimmunity reviews,39461487,1873-0183
Archives of academic emergency medicine,39465058,2645-4904
World journal of gastrointestinal oncology,39473941,1948-5204
Maternal & child nutrition,39482833,1740-8709
Oral oncology,39488165,1879-0593
Metabolism: clinical and experimental,39489413,1532-8600
Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,39489428,1879-0887
Brain research,39490402,1872-6240
JAMA pediatrics,39495532,2168-6211
Obesity facts,39500293,1662-4033
Translational lung cancer research,39507019,2218-6751
Journal of clinical tuberculosis and other mycobacterial diseases,39507205,2405-5794
Malaria journal,39516817,1475-2875
Technology and health care : official journal of the European Society for Engineering and Medicine,39520172,1878-7401
Brain circulation,39526106,2455-4626
European journal of ophthalmology,39529362,1724-6016
"Journal of neurology, neurosurgery, and psychiatry",39532519,1468-330X
Ophthalmic research,39536726,1423-0259
Journal of cutaneous medicine and surgery,39548853,1615-7109
The Cochrane database of systematic reviews,39564892,1469-493X
PLOS global public health,39565745,2767-3375
Current problems in cardiology,39566868,1535-6280
Aging and disease,39571158,2152-5250
Gynecologic and obstetric investigation,39571567,1423-002X
World neurosurgery,39577652,1878-8769
European journal of preventive cardiology,39591503,2047-4881
"Medicina (Kaunas, Lithuania)",39596969,1648-9144
Lakartidningen,39600161,1652-7518
Dementia & neuropsychologia,39171329,1980-5764
Travel medicine and infectious disease,39173939,1873-0442
Clinics and research in hepatology and gastroenterology,39174005,2210-741X
European heart journal,39189413,1522-9645
Multiple sclerosis and related disorders,39191096,2211-0356
American journal of epidemiology,39191648,1476-6256
Rheumatology international,39192023,1437-160X
Journal of periodontal research,39192495,1600-0765
European journal of dermatology : EJD,39193676,1952-4013
Cephalalgia : an international journal of headache,39197864,1468-2982
Bioscience trends,39198157,1881-7823
Journal of personalized medicine,39202043,2075-4426
F1000Research,39205865,2046-1402
Zhonghua nan ke xue = National journal of andrology,39210487,1009-3591
EBioMedicine,39217853,2352-3964
Saudi medical journal,39218461,1658-3175
Revue scientifique et technique (International Office of Epizootics),39222101,0253-1933
Journal of family medicine and primary care,39228611,2249-4863
Global health action,39229931,1654-9880
The British journal of radiology,39236250,1748-880X
Environmental research,39237017,1096-0953
Annals of gastroenterology,39238799,1108-7471
Neurosurgery clinics of North America,39244320,1558-1349
Blood cancer journal,39251600,2044-5385
European journal of medical research,39252104,2047-783X
Clinical epidemiology,39252850,1179-1349
Herz,39254857,1615-6692
Global public health,39258305,1744-1706
Dermatologic clinics,39278705,1558-0520
Neuro-oncology practice,39279779,2054-2577
Surgery open science,39279890,2589-8450
Narra J,39280323,2807-2618
Journal of current ophthalmology,39281396,2452-2325
Journal of the National Cancer Center,39281715,2667-0054
Journal of general internal medicine,39302563,1525-1497
The Lancet. Neurology,39304246,1474-4465
American journal of lifestyle medicine,39309323,1559-8284
"Epidemiologia (Basel, Switzerland)",39311357,2673-3986
Alzheimer's & dementia : the journal of the Alzheimer's Association,39312279,1552-5279
Expert review of clinical pharmacology,39313486,1751-2441
Nature reviews. Cardiology,39317838,1759-5010
Journal of surgical oncology,39318181,1096-9098
Ecology,39319755,1939-9170
"Endocrinology and metabolism (Seoul, Korea)",39322188,2093-5978
Revista espanola de enfermedades digestivas,39324626,1130-0108
Age and ageing,39324773,1468-2834
"Current oncology (Toronto, Ont.)",39330046,1718-7729
GeoHealth,39347019,2471-1403
European journal of psychotraumatology,39355978,2000-8066
United European gastroenterology journal,39360668,2050-6414
NPJ digital medicine,39367112,2398-6352
[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,39375140,0412-4081
Physiological reports,39375175,2051-817X
Frontiers in immunology,39381003,1664-3224
International journal of environmental research and public health,38928913,1660-4601
ESC heart failure,38937863,2055-5822
West African journal of medicine,38944877,0189-160X
"Respirology (Carlton, Vic.)",38946174,1440-1843
Indian journal of gastroenterology : official journal of the Indian Society of Gastroenterology,38951365,0975-0711
Community mental health journal,38951416,1573-2789
Journal of ethnopharmacology,38964626,1872-7573
Pediatric blood & cancer,38967594,1545-5017
Microbial biotechnology,38970161,1751-7915
Journal of gastrointestinal oncology,38989404,2078-6891
Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology,38991099,1473-0766
International archives of occupational and environmental health,38995431,1432-1246
The Lancet. Rheumatology,38996590,2665-9913
"Problemy sotsial'noi gigieny, zdravookhraneniia i istorii meditsiny",39003542,0869-866X
International journal of clinical pharmacy,39007991,2210-7711
Journal of medical Internet research,39012688,1438-8871
Cancer biology & medicine,39015006,2095-3941
Internal medicine journal,39016076,1445-5994
"Diabetes therapy : research, treatment and education of diabetes and related disorders",39023686,1869-6953
JAMA,39023909,1538-3598
The lancet. Gastroenterology & hepatology,39032499,2468-1253
CNS drugs,39033264,1179-1934
"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians",39034157,1476-4954
IJTLD open,39035434,3005-7590
Nano-micro letters,39037551,2150-5551
JMIR medical informatics,39037700,2291-9694
Acta obstetricia et gynecologica Scandinavica,39046200,1600-0412
Journal of occupational health,39046455,1348-9585
"Science (New York, N.Y.)",39052781,1095-9203
"Public health nursing (Boston, Mass.)",39054588,1525-1446
Minerva cardiology and angiology,39056430,2724-5772
Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,39068136,1878-3562
Asia-Pacific journal of oncology nursing,39072256,2347-5625
Targeted oncology,39085451,1776-260X
Osong public health and research perspectives,39091163,2210-9099
Tumori,39096014,2038-2529
Nutrition & diabetes,39097595,2044-4052
South African family practice : official journal of the South African Academy of Family Practice/Primary Care,39099258,2078-6204
Journal of clinical gastroenterology,39102453,1539-2031
Osteoarthritis and cartilage,39103081,1522-9653
"Plastic surgery (Oakville, Ont.)",39104942,2292-5503
Netherlands heart journal : monthly journal of the Netherlands Society of Cardiology and the Netherlands Heart Foundation,39105898,1568-5888
Journal of psychiatric research,39106579,1879-1379
American journal of hypertension,39115345,1941-7225
Trauma surgery & acute care open,39119252,2397-5776
Reviews in cardiovascular medicine,39139442,2153-8174
Journal of the National Cancer Institute,39141445,1460-2105
Journal of Alzheimer's disease : JAD,39150827,1875-8908
Journal of neuromuscular diseases,39150833,2214-3602
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,39155829,1553-2712
Journal of preventive medicine and public health = Yebang Uihakhoe chi,39164110,2233-4521
Indian journal of pediatrics,39167302,0973-7693
Trends in hearing,39169862,2331-2165
Journal of the National Comprehensive Cancer Network : JNCCN,38648855,1540-1413
Journal of public health policy,38654116,1745-655X
"Journal of public health (Oxford, England)",38654655,1741-3850
"Arteriosclerosis, thrombosis, and vascular biology",38657032,1524-4636
The British journal of ophthalmology,38664003,1468-2079
BMC ophthalmology,38664615,1471-2415
Central European journal of public health,38669160,1210-7778
"Children (Basel, Switzerland)",38671642,2227-9067
