Journal,Publisher,ISSN,eISSN,IF,zky
TOXICOLOGIC PATHOLOGY,SAGE PUBLICATIONS INC,0192-6233,1533-1601,1.4,4
PEDIATRIC AND DEVELOPMENTAL PATHOLOGY,SAGE PUBLICATIONS INC,1093-5266,1615-5742,1.3,4
International Journal of Paleopathology,ELSEVIER SCIENCE INC,1879-9817,1879-9825,1.3,4
NEUROPATHOLOGY,WILEY,0919-6544,1440-1789,1.3,4
Medical Molecular Morphology,SPRINGER JAPAN KK,1860-1480,1860-1499,1.2,4
International Journal of Clinical and Experimental Pathology,E-CENTURY PUBLISHING CORP,1936-2625,1936-2625,1.2,4
Academic Pathology,ELSEVIER SCIENCE INC,2374-2895,2374-2895,1.2,4
CYTOPATHOLOGY,WILEY,0956-5507,1365-2303,1.2,4
ULTRASTRUCTURAL PATHOLOGY,TAYLOR & FRANCIS INC,0191-3123,1521-0758,1.1,4
Turkish Journal of Pathology,FEDERATION TURKISH PATHOLOGY SOC,1018-5615,1309-5730,1.1,4
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,0195-7910,1533-404X,1,4
DIAGNOSTIC CYTOPATHOLOGY,WILEY,8755-1039,1097-0339,1,4
INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY,SAGE PUBLICATIONS INC,1066-8969,1940-2465,0.9,4
Journal of Toxicologic Pathology,JAPANESE SOC TOXICOLOGIC PATHOLOGY,0914-9198,1881-915X,0.9,4
Pathologie,SPRINGER HEIDELBERG,2731-7188,2731-7196,0.9,4
JOURNAL OF COMPARATIVE PATHOLOGY,ELSEVIER SCI LTD,0021-9975,1532-3129,0.8,4
CLINICAL NEUROPATHOLOGY,DUSTRI-VERLAG DR KARL FEISTLE,0722-5091,0722-5091,0.8,4
Indian Journal of Pathology and Microbiology,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0377-4929,0974-5130,0.8,4
Pathology and Laboratory Medicine International,DOVE MEDICAL PRESS LTD,N/A,1179-2698,0.8,4
LEPROSY REVIEW,LEPRA,0305-7518,2162-8807,0.8,4
Fetal and Pediatric Pathology,TAYLOR & FRANCIS INC,1551-3815,1551-3823,0.7,4
POLISH JOURNAL OF PATHOLOGY,VESALIUS UNIV MEDICAL PUBL,1233-9687,1233-9687,0.7,4
Case Reports in Pathology,HINDAWI LTD,2090-6781,2090-679X,0.7,4
Malaysian Journal of Pathology,MALAYSIAN JOURNAL PATHOLOGY,0126-8635,0126-8635,0.6,4
Journal of Hematopathology,SPRINGER HEIDELBERG,1868-9256,1865-5785,0.6,4
ANNALES DE PATHOLOGIE,MASSON EDITEUR,0242-6498,2213-008X,0.5,4
Medecine Nucleaire-Imagerie Fonctionnelle et Metabolique,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,0928-1258,1878-6820,0.2,4
Pathologia,ZAPORIZHZHYA STATE MEDICAL UNIV,2306-8027,2310-1237,0.1,4
AJSP-Reviews and Reports,LIPPINCOTT WILLIAMS & WILKINS,2381-5949,2381-652X,0.1,4
Annual Review of Pathology-Mechanisms of Disease,ANNUAL REVIEWS,1553-4006,1553-4014,28.4,1
ENDOCRINE PATHOLOGY,HUMANA PRESS INC,1046-3976,1559-0097,11.3,1
ACTA NEUROPATHOLOGICA,SPRINGER,0001-6322,1432-0533,9.3,1
Seminars in Immunopathology,SPRINGER HEIDELBERG,1863-2297,1863-2300,7.9,1
MODERN PATHOLOGY,ELSEVIER SCIENCE INC,0893-3952,1530-0285,7.1,1
HLA,WILEY,2059-2302,2059-2310,6.5,4
BRAIN PATHOLOGY,WILEY,1015-6305,1750-3639,5.8,2
JOURNAL OF PATHOLOGY,WILEY,0022-3417,1096-9896,5.6,2
LABORATORY INVESTIGATION,ELSEVIER SCIENCE INC,0023-6837,1530-0307,5.1,2
ADVANCES IN ANATOMIC PATHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,1072-4109,1533-4031,5.1,2
CELLULAR ONCOLOGY,SPRINGER,2211-3428,2211-3436,4.9,2
AMERICAN JOURNAL OF PATHOLOGY,ELSEVIER SCIENCE INC,0002-9440,1525-2191,4.7,2
AMERICAN JOURNAL OF SURGICAL PATHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,0147-5185,1532-0979,4.5,1
PATHOLOGICA,PACINI EDITORE,0031-2983,1591-951X,4.4,4
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,WILEY,0305-1846,1365-2990,4,2
Disease Models & Mechanisms,COMPANY BIOLOGISTS LTD,1754-8403,1754-8411,4,3
HISTOPATHOLOGY,WILEY,0309-0167,1365-2559,3.9,2
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,TAYLOR & FRANCIS AS,1473-7159,1744-8352,3.9,3
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,COLL AMER PATHOLOGISTS,0003-9985,1543-2165,3.7,3
PATHOLOGY,ELSEVIER,0031-3025,1465-3931,3.6,3
PATHOBIOLOGY,KARGER,1015-2008,1423-0291,3.5,3
JOURNAL OF MOLECULAR DIAGNOSTICS,ELSEVIER SCIENCE INC,1525-1578,1943-7811,3.4,3
Journal of Pathology Clinical Research,WILEY,N/A,2056-4538,3.4,2
VIRCHOWS ARCHIV,SPRINGER,0945-6317,1432-2307,3.4,2
Head & Neck Pathology,SPRINGER,1936-055X,1936-0568,3.2,2
JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,OXFORD UNIV PRESS INC,0022-3069,1554-6578,3.2,4
INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,SAGE PUBLICATIONS INC,0394-6320,2058-7384,3,4
PATHOLOGY RESEARCH AND PRACTICE,ELSEVIER GMBH,0344-0338,1618-0631,2.9,4
SEMINARS IN DIAGNOSTIC PATHOLOGY,W B SAUNDERS CO-ELSEVIER INC,0740-2570,1930-1111,2.9,3
EXPERIMENTAL AND MOLECULAR PATHOLOGY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0014-4800,1096-0945,2.8,4
HUMAN PATHOLOGY,W B SAUNDERS CO-ELSEVIER INC,0046-8177,1532-8392,2.7,3
JOURNAL OF ORAL PATHOLOGY & MEDICINE,WILEY,0904-2512,1600-0714,2.7,3
PATHOPHYSIOLOGY,MDPI,0928-4680,1873-149X,2.7,4
Brain Tumor Pathology,SPRINGER JAPAN KK,1433-7398,1861-387X,2.7,3
CANCER CYTOPATHOLOGY,WILEY,1934-662X,1934-6638,2.6,3
Analytical Cellular Pathology,HINDAWI LTD,2210-7177,2210-7185,2.6,4
JOURNAL OF CLINICAL PATHOLOGY,BMJ PUBLISHING GROUP,0021-9746,1472-4146,2.5,4
PATHOLOGY INTERNATIONAL,WILEY,1320-5463,1440-1827,2.5,4
CytoJournal,SCIENTIFIC SCHOLAR LLC,0974-5963,1742-6413,2.5,4
HISTOLOGY AND HISTOPATHOLOGY,F HERNANDEZ,0213-3911,1699-5848,2.5,4
Diagnostic Pathology,BMC,N/A,1746-1596,2.4,3
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,OXFORD UNIV PRESS INC,0002-9173,1943-7722,2.3,4
CYTOMETRY PART B-CLINICAL CYTOMETRY,WILEY,1552-4949,1552-4957,2.3,4
VETERINARY PATHOLOGY,SAGE PUBLICATIONS INC,0300-9858,1544-2217,2.3,2
CARDIOVASCULAR PATHOLOGY,ELSEVIER SCIENCE INC,1054-8807,1879-1336,2.3,4
PATHOLOGY & ONCOLOGY RESEARCH,FRONTIERS MEDIA SA,1219-4956,1532-2807,2.3,4
APMIS,WILEY,0903-4641,1600-0463,2.2,4
SCIENCE & JUSTICE,ELSEVIER SCI LTD,1355-0306,1876-4452,1.9,4
Clinical Pathology,SAGE PUBLICATIONS LTD,2632-010X,2632-010X,1.9,4
INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY,WILEY,0959-9673,1365-2613,1.8,4
ALZHEIMER DISEASE & ASSOCIATED DISORDERS,LIPPINCOTT WILLIAMS & WILKINS,0893-0341,0893-0341,1.8,4
Journal of Pathology and Translational Medicine,KOREAN SOC PATHOLOGISTS,2383-7837,2383-7845,1.7,4
INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,0277-1691,1538-7151,1.6,4
JOURNAL OF CUTANEOUS PATHOLOGY,WILEY,0303-6987,1600-0560,1.6,4
ACTA CYTOLOGICA,KARGER,0001-5547,1938-2650,1.6,4
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,1541-2016,1533-4058,1.5,4
Forensic Science Medicine and Pathology,HUMANA PRESS INC,1547-769X,1556-2891,1.5,4
Annals of Diagnostic Pathology,ELSEVIER SCIENCE INC,1092-9134,1532-8198,1.5,4
FOLIA NEUROPATHOLOGICA,TERMEDIA PUBLISHING HOUSE LTD,1641-4640,1509-572X,1.5,4
TOXICOLOGIC PATHOLOGY,SAGE PUBLICATIONS INC,0192-6233,1533-1601,1.4,4
PEDIATRIC AND DEVELOPMENTAL PATHOLOGY,SAGE PUBLICATIONS INC,1093-5266,1615-5742,1.3,4
International Journal of Paleopathology,ELSEVIER SCIENCE INC,1879-9817,1879-9825,1.3,4
NEUROPATHOLOGY,WILEY,0919-6544,1440-1789,1.3,4
Medical Molecular Morphology,SPRINGER JAPAN KK,1860-1480,1860-1499,1.2,4
International Journal of Clinical and Experimental Pathology,E-CENTURY PUBLISHING CORP,1936-2625,1936-2625,1.2,4
Academic Pathology,ELSEVIER SCIENCE INC,2374-2895,2374-2895,1.2,4
CYTOPATHOLOGY,WILEY,0956-5507,1365-2303,1.2,4
ULTRASTRUCTURAL PATHOLOGY,TAYLOR & FRANCIS INC,0191-3123,1521-0758,1.1,4
Turkish Journal of Pathology,FEDERATION TURKISH PATHOLOGY SOC,1018-5615,1309-5730,1.1,4
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,0195-7910,1533-404X,1,4
DIAGNOSTIC CYTOPATHOLOGY,WILEY,8755-1039,1097-0339,1,4
INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY,SAGE PUBLICATIONS INC,1066-8969,1940-2465,0.9,4
Journal of Toxicologic Pathology,JAPANESE SOC TOXICOLOGIC PATHOLOGY,0914-9198,1881-915X,0.9,4
Pathologie,SPRINGER HEIDELBERG,2731-7188,2731-7196,0.9,4
JOURNAL OF COMPARATIVE PATHOLOGY,ELSEVIER SCI LTD,0021-9975,1532-3129,0.8,4
CLINICAL NEUROPATHOLOGY,DUSTRI-VERLAG DR KARL FEISTLE,0722-5091,0722-5091,0.8,4
Indian Journal of Pathology and Microbiology,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0377-4929,0974-5130,0.8,4
Pathology and Laboratory Medicine International,DOVE MEDICAL PRESS LTD,N/A,1179-2698,0.8,4
LEPROSY REVIEW,LEPRA,0305-7518,2162-8807,0.8,4
Fetal and Pediatric Pathology,TAYLOR & FRANCIS INC,1551-3815,1551-3823,0.7,4
POLISH JOURNAL OF PATHOLOGY,VESALIUS UNIV MEDICAL PUBL,1233-9687,1233-9687,0.7,4
Case Reports in Pathology,HINDAWI LTD,2090-6781,2090-679X,0.7,4
Malaysian Journal of Pathology,MALAYSIAN JOURNAL PATHOLOGY,0126-8635,0126-8635,0.6,4
Journal of Hematopathology,SPRINGER HEIDELBERG,1868-9256,1865-5785,0.6,4
ANNALES DE PATHOLOGIE,MASSON EDITEUR,0242-6498,2213-008X,0.5,4
Medecine Nucleaire-Imagerie Fonctionnelle et Metabolique,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,0928-1258,1878-6820,0.2,4
Pathologia,ZAPORIZHZHYA STATE MEDICAL UNIV,2306-8027,2310-1237,0.1,4
AJSP-Reviews and Reports,LIPPINCOTT WILLIAMS & WILKINS,2381-5949,2381-652X,0.1,4
Bioactive Materials,KEAI PUBLISHING LTD,N/A,2452-199X,18,1
BIOMATERIALS,ELSEVIER SCI LTD,0142-9612,1878-5905,12.8,1
Advanced Healthcare Materials,WILEY,2192-2640,2192-2659,10,2
VIEW,WILEY,2688-3988,2688-268X,9.7,3
Acta Biomaterialia,ELSEVIER SCI LTD,1742-7061,1878-7568,9.4,1
Materials Today Bio,ELSEVIER,2590-0064,2590-0064,8.7,1
Biofabrication,IOP Publishing Ltd,1758-5082,1758-5090,8.2,2
Materials Science & Engineering C-Materials for Biological Applications,ELSEVIER,0928-4931,1873-0191,8.1,NA
Biomaterials Research,AMER ASSOC ADVANCEMENT SCIENCE,1226-4601,2055-7124,8.1,2
International Journal of Bioprinting,Accscience Publishing,2424-7723,2424-8002,6.8,2
Journal of Materials Chemistry B,ROYAL SOC CHEMISTRY,2050-750X,2050-7518,6.1,3
Biomaterials Science,ROYAL SOC CHEMISTRY,2047-4830,2047-4849,5.8,3
Regenerative Biomaterials,OXFORD UNIV PRESS,2056-3418,2056-3426,5.7,2
Biomaterials Advances,ELSEVIER,N/A,2772-9508,5.5,2
ACS Biomaterials Science & Engineering,AMER CHEMICAL SOC,2373-9878,2373-9878,5.5,3
COLLOIDS AND SURFACES B-BIOINTERFACES,ELSEVIER,0927-7765,1873-4367,5.4,2
Tissue Engineering Part B-Reviews,"MARY ANN LIEBERT, INC",1937-3368,1937-3376,5.1,2
Journal of Functional Biomaterials,MDPI,N/A,2079-4983,5,3
Journal of Bionic Engineering,SPRINGER SINGAPORE PTE LTD,1672-6529,2543-2141,4.9,3
ACS Applied Bio Materials,AMER CHEMICAL SOC,2576-6422,2576-6422,4.7,3
DENTAL MATERIALS,ELSEVIER SCI LTD,0109-5641,1879-0097,4.6,1
Artificial Cells Nanomedicine and Biotechnology,TAYLOR & FRANCIS LTD,2169-1401,2169-141X,4.5,2
Progress in Biomaterials,SPRINGER HEIDELBERG,2194-0509,2194-0517,4.4,4
MACROMOLECULAR BIOSCIENCE,WILEY-V C H VERLAG GMBH,1616-5187,1616-5195,4.4,4
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,SPRINGER,0957-4530,1573-4838,4.2,3
Advanced NanoBiomed Research,WILEY-V C H VERLAG GMBH,2699-9307,2699-9307,4,4
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,WILEY,1549-3296,1552-4965,3.9,3
Biomedical Materials,IOP Publishing Ltd,1748-6041,1748-605X,3.9,4
JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,TAYLOR & FRANCIS LTD,0920-5063,1568-5624,3.6,4
Tissue Engineering Part A,"MARY ANN LIEBERT, INC",1937-3341,1937-335X,3.5,3
Biomimetics,MDPI,N/A,2313-7673,3.4,3
Journal of the Mechanical Behavior of Biomedical Materials,ELSEVIER,1751-6161,1878-0180,3.3,3
EUROPEAN CELLS & MATERIALS,"FORUM MULTIMEDIA PUBLISHING, LLC",1473-2262,1473-2262,3.2,2
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,WILEY,1552-4973,1552-4981,3.2,4
Advanced Biology,WILEY-V C H VERLAG GMBH,2701-0198,2701-0198,3.2,4
Bioinspiration & Biomimetics,IOP Publishing Ltd,1748-3182,1748-3190,3.1,3
Journal of Applied Biomaterials & Functional Materials,SAGE PUBLICATIONS LTD,N/A,2280-8000,3.1,4
BioNanoScience,SPRINGER,2191-1630,2191-1649,3,4
International Journal of Biomaterials,HINDAWI LTD,1687-8787,1687-8795,3,4
Prosthesis,MDPI,N/A,2673-1592,2.8,3
Tissue Engineering Part C-Methods,"MARY ANN LIEBERT, INC",1937-3384,1937-3392,2.7,4
International Journal of Polymeric Materials and Polymeric Biomaterials,TAYLOR & FRANCIS AS,0091-4037,1563-535X,2.5,4
JOURNAL OF BIOMATERIALS APPLICATIONS,SAGE PUBLICATIONS LTD,0885-3282,1530-8022,2.3,4
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS,SAGE PUBLICATIONS LTD,0883-9115,1530-8030,2.1,4
DENTAL MATERIALS JOURNAL,JAPANESE SOC DENTAL MATERIALS DEVICES,0287-4547,0287-4547,1.9,4
Journal of Oral Science,"NIHON UNIV, SCHOOL DENTISTRY",1343-4934,1880-4926,1.9,4
Biointerphases,AIP Publishing,1934-8630,1559-4106,1.6,4
Biosurface and Biotribology,WILEY,2405-4518,2405-4518,1.6,4
Bioinspired Biomimetic and Nanobiomaterials,EMERALD GROUP PUBLISHING LTD,2045-9858,2045-9866,1.3,4
CELLULAR POLYMERS,SAGE PUBLICATIONS LTD,0262-4893,1478-2421,1.3,4
BIO-MEDICAL MATERIALS AND ENGINEERING,IOS PRESS,0959-2989,1878-3619,1,4
Nano LIFE,WORLD SCIENTIFIC PUBL CO PTE LTD,1793-9844,1793-9852,0.8,4
Progress on Chemistry and Application of Chitin and its Derivatives,POLISH CHITIN SOC,1896-5644,1896-5644,0.8,4
BRITISH JOURNAL OF GENERAL PRACTICE,ROYAL COLL GENERAL PRACTITIONERS,0960-1643,1478-5242,5.3,2
ANNALS OF FAMILY MEDICINE,ANNALS FAMILY MEDICINE,1544-1709,1544-1717,4.4,2
AMERICAN FAMILY PHYSICIAN,AMER ACAD FAMILY PHYSICIANS,0002-838X,1532-0650,3.8,3
BMC Family Practice,BMC,N/A,1471-2296,3.2,NA
npj Primary Care Respiratory Medicine,NATURE PORTFOLIO,N/A,2055-1010,3.1,2
Journal of Primary Care and Community Health,SAGE PUBLICATIONS INC,2150-1319,2150-1327,3,4
Family Medicine and Community Health,BMJ PUBLISHING GROUP,2305-6983,2009-8774,2.6,3
Primary Care Diabetes,ELSEVIER SCI LTD,1751-9918,1878-0210,2.6,4
PRIMARY CARE,W B SAUNDERS CO-ELSEVIER INC,0095-4543,1558-299X,2.5,4
BJGP Open,ROYAL COLL GENERAL PRACTITIONERS,N/A,2398-3795,2.5,4
Journal of the American Board of Family Medicine,AMER BOARD FAMILY MEDICINE,1557-2625,1558-7118,2.4,4
FAMILY PRACTICE,OXFORD UNIV PRESS,0263-2136,1460-2229,2.4,4
CANADIAN FAMILY PHYSICIAN,COLL FAMILY PHYSICIANS CANADA,0008-350X,1715-5258,2.4,4
